Bahman Ghobadi,Fasle kargadan (2012),Gomgashtei dar Aragh (2002),Kasi az gorbehaye irani khabar nadareh (2009),Niwemang (2006),Words with Gods (2014)
Sean Ackerman,The Diary of Preston Plummer (2012)
Julien Abraham,La cité rose (2012)
Nicolás Pereda,Venice 70: Future Reloaded (2013)
Hélène Angel,Propriété interdite (2011),Rencontre avec le dragon (2003)
Adam (I) Goldberg,I Love Your Work (2003),No Way Jose (2015)
Danny Boyle,127 Hours (2010),28 Days Later... (2002),Alien Love Triangle (2008),Millions (2004),National Theatre Live: Frankenstein (2011),Slumdog Millionaire (2008),Sunshine (2007),Trance (2013/I),Babylon (2014)
Gabrielle Burton,Manna from Heaven (2002)
Joaquim Leitão,A Esperança Está Onde Menos Se Espera (2009),Quarta Divisão (2013),Sei Lá (2014)
Sam Raimi,Drag Me to Hell (2009),Oz the Great and Powerful (2013),Spider-Man (2002),Spider-Man 2 (2004),Spider-Man 3 (2007)
Yi-Chien Yang,Bao mi qia qia (2012)
Ron (I) Oliver,A Perfect Wedding (2015),Ice Blues (2008),Shock to the System (2006),Thralls (2005),Wild Card (2003)
Kevin P. (I) Miller,Generation RX (2008)
Joe Menendez,3 Holiday Tails (2011),Hunting of Man (2003),Ladrón que roba a ladrón (2007),The Brittany Murphy Story (2014)
Baris Yös,Bir Ask Hikayesi (2013)
Reg Traviss,Joy Division (2006),Psychosis (2010/I),Screwed (2011/I)
Sherif Arafa,El gezira (2007),El Gezira 2 (2014),Fool el seen el azeem (2004),Halim (2006),Mafia (2002),Welad el am (2009),X-Large (2011)
Howard (I) Goldberg,Jake Squared (2013)
Vishram Sawant,'D' (2005),Risk (2007)
Michael (I) Karen,Agent Ranjid rettet die Welt (2012),Erkan & Stefan in Der Tod kommt krass (2005)
Peter (I) Galison,Secrecy (2008)
Katie Tallo,Posers (2003)
Marcelo Lordello,Eles Voltam (2012)
K.C. Bokadia,Deewana Main Deewana (2013),Dirty Politics (2015)
Tim Eldred,Heavy Gear: The Animated Series (2001)
Lodewijk Crijns,Alleen maar nette mensen (2012),Kankerlijers (2014),Met grote blijdschap (2001),Turkse chick (2006)
Jong-hyuk Lee,H (2002)
David Frazee,X Company (2015)
Takahisa Zeze,Kansen rettô (2009),Moon Child (2003),Tôkyô X erotika: Shibireru kairaku (2001)
Afzal (IV) Khan,Mehbooba (2008)
Lorcan Finnegan,Foxes (2012)
David Schmoeller,Little Monsters (2012)
Chris W. Freeman,Sorority Party Massacre (2012)
